state,precinct,percent_candidate,candidate_votes
Massachusetts,Norwood,64,10941
New York,Westchester,64,400881
Connecticut,Redding,64,3829
Colorado,Gunnison,64,6976
Montana,Glacier,64,3603
Massachusetts,Shrewsbury,64,13325
Massachusetts,Hudson,64,7409
Rhode Island,East Providence,64,14394
Massachusetts,Revere,64,13283
Virginia,Prince William,64,139502
Connecticut,Simsbury,64,10296
Colorado,Eagle,64,18095
Florida,Leon,64,103364
Massachusetts,Hull,64,4446
Massachusetts,Canton,64,9147
Massachusetts,Scituate,63,8595
Virginia,Henrico,63,110115
Louisiana,St. John the Baptist,63,13581
Hawaii,Kauai,63,21217
Maine,York,63,6117
South Carolina,Lee,63,5308
Indiana,Marion,63,238012
Maine,Waterville,63,4991
North Carolina,Edgecombe,63,15935
Indiana,Monroe,63,39488
Connecticut,West Haven,63,14245
Maine,Scarborough,63,9487
Connecticut,Ridgefield,63,10114
Maryland,Charles,63,35937
Colorado,Routt,63,10523
Florida,Alachua,63,89527
Connecticut,Stonington,63,7453
Maine,Biddeford,63,7019
Virginia,Martinsville City,63,3741
Hawaii,Honolulu,63,238601
Pennsylvania,Montgomery,63,313543
Colorado,Broomfield,62,28871
Connecticut,Glastonbury,62,13842
North Carolina,Wake,62,388686
California,Lake,62,6874
California,San Benito,62,14153
Massachusetts,Grafton,62,6977
North Carolina,Warren,62,6344
Massachusetts,Chelmsford,62,13635
New Jersey,Somerset,62,87411
Arizona,Coconino,62,40862
Massachusetts,Mansfield,62,9012
Connecticut,East Lyme,62,7290
Massachusetts,Newbury,62,3112
Massachusetts,Millis,62,3464
Georgia,Douglas,62,42587
New Jersey,Burlington,62,126131
Mississippi,Bolivar,62,7203
Pennsylvania,Delaware,62,184648
South Carolina,Bamberg,62,4003
California,San Diego,62,763255
Virginia,Roanoke City,62,25929
Maine,Saco,62,7794
Vermont,Bennington,62,4369
Connecticut,Groton,62,10699
Connecticut,South Windsor,62,9595
Massachusetts,Burlington,61,9314
Massachusetts,Harwich,61,5761
Connecticut,Greenwich,61,21441
Massachusetts,Wakefield,61,10170
Virginia,Loudoun,61,135806
Massachusetts,Duxbury,61,6758
Georgia,Muscogee,61,49201
Connecticut,Madison,61,7625
Massachusetts,Franklin Town,61,12053
Massachusetts,Medway,61,5149
Massachusetts,Belchertown,61,5728
Massachusetts,North Andover,61,11004
Georgia,Bibb,61,43234
Georgia,Liberty,61,13051
New Mexico,Los Alamos,61,7363
Texas,Webb,61,41820
Massachusetts,Winthrop Town,61,6057
Missouri,St. Louis,61,322802
Rhode Island,Portsmouth,61,6469
Connecticut,Stratford,61,16210
Florida,Orange,61,394602
Virginia,Manassas City,61,10100
North Carolina,Guilford,61,171538
Colorado,Arapahoe,61,211498
New Mexico,Bernalillo,61,192042
Connecticut,Norwich,61,9306
Massachusetts,Chatham,61,3043
South Carolina,Fairfield,61,7369
Connecticut,Avon,61,7080
Washington,Whatcom,61,82463
Massachusetts,New Bedford,61,20805
New Jersey,Passaic,61,78552
Rhode Island,East Greenwich,61,5057
California,San Joaquin,61,86114
Connecticut,Darien,61,7876
Massachusetts,Stoneham,60,8607
North Carolina,Bertie,60,5846
Oregon,Lane,60,132015
Virginia,Danville City,60,11568
Massachusetts,Woburn,60,13504
North Carolina,Halifax,60,15382
South Carolina,Marion,60,8846
California,Ventura,60,216447
New Hampshire,Stratham,60,3306
Montana,Missoula,60,43351
New York,Albany,60,73189
Maine,Topsham,60,3944
Connecticut,Farmington,60,9706
New Jersey,Cumberland,60,15440
Massachusetts,Clinton,60,4661
Connecticut,Vernon,60,9259
North Carolina,Northampton,60,6048
Missouri,Jackson,60,198031
Massachusetts,Dennis,60,6179
Massachusetts,Easton,60,8440
Rhode Island,Warren,60,3430
North Carolina,Buncombe,60,95881
Connecticut,Waterbury,60,21573
California,San Luis Obispo,60,69339
Arkansas,Pulaski,60,98855
Massachusetts,Upton,60,3099
Georgia,Henry,60,73118
Maine,Old Orchard Beach,60,3708
California,Mono,60,3884
Massachusetts,Weymouth Town,60,19254
Connecticut,Old Lyme,60,3225
Massachusetts,Milford,60,8691
Rhode Island,North Kingstown,59,9992
Massachusetts,Foxborough,59,6583
Arkansas,Jefferson,59,14882
Massachusetts,Norfolk,59,4037
Washington,Thurston,59,86181
California,Nevada,59,17861
Arizona,Pima,59,291697
North Carolina,Vance,59,12412
Washington,Snohomish,59,245708
Rhode Island,Narragansett,59,5210
Illinois,Champaign,59,54412
Alabama,Hale,59,4687
Mississippi,Washington,59,6218
New Hampshire,Nashua,59,26770
New Jersey,Bergen,59,239742
Connecticut,Meriden,59,14955
New Hampshire,Bow,59,3256
Washington,Skagit,59,23033
Connecticut,Wethersfield,59,9612
Connecticut,New Canaan,59,7296
Massachusetts,Yarmouth,59,9025
New Hampshire,Amherst,59,4796
Connecticut,Danbury,59,18869
Massachusetts,Fitchburg,59,8837
Connecticut,Branford,59,10173
Pennsylvania,Allegheny,59,396042
Kentucky,Jefferson,59,218944
Georgia,Chatham,59,78128
Kentucky,Fayette,59,85211
Rhode Island,Bristol,59,6606
Massachusetts,Haverhill,59,18658
Maryland,Baltimore,58,168421
Vermont,Rutland,58,4679
Maine,Bangor,58,8575
Massachusetts,Walpole,58,9237
Michigan,Kalamazoo,58,83674
Massachusetts,Mashpee,58,5977
Texas,Bexar,58,440823
Georgia,Gwinnett,58,236336
Connecticut,Canton,58,3878
Maine,Gorham,58,6460
Texas,Hidalgo,58,127391
New Mexico,Dona Ana,58,47919
Massachusetts,Norwell,58,4262
Massachusetts,Barnstable Town,58,15685
Massachusetts,Attleboro,58,13408
Connecticut,Old Saybrook,58,4253
Massachusetts,Danvers,58,9698
Colorado,Jefferson,58,217891
Virginia,Suffolk City,58,28484
Arkansas,Phillips,58,3561
New Hampshire,Conway,58,3380
Massachusetts,Holden,58,5518
Oregon,Clackamas,58,114121
Washington,Kitsap,58,87680
Massachusetts,Braintree Town,58,12464
Illinois,Du Page,58,269638
Colorado,La Plata,58,20363
Pennsylvania,Chester,57,177408
Ohio,Lucas,57,111989
North Carolina,Cumberland,57,83533
Virginia,Brunswick,57,4525
South Carolina,Hampton,57,5310
Massachusetts,Leominster,57,12084
Iowa,Story,57,28975
Ohio,Hamilton,57,238101
Mississippi,Clay,57,5728
Minnesota,St. Louis,57,67496
Massachusetts,Plymouth,57,20780
Illinois,Lake,57,144674
New Jersey,Morris,57,73790
Iowa,Polk,57,146173
Colorado,Adams,57,132951
Indiana,Lake,57,124801
Oregon,Lincoln,57,17248
Wisconsin,Bayfield,57,6155
Ohio,Athens,56,14047
Florida,Osceola,56,97157
Connecticut,East Windsor,56,3891
Massachusetts,Southbridge Town,56,4074
New Hampshire,Somersworth,56,3422
Mississippi,Adams,56,6914
Georgia,Cobb,56,221234
North Carolina,Forsyth,56,111769
Michigan,Oakland,56,438147
Connecticut,Newtown,56,9750
New Hampshire,Hollis,56,3277
Colorado,Larimer,56,125765
Massachusetts,Chicopee,56,14452
Connecticut,Waterford,56,6917
Massachusetts,Boxford,56,3056
Massachusetts,North Reading,56,5501
Connecticut,Bethel,56,6270
California,Merced,56,33993
Florida,Palm Beach,56,432117
Illinois,Kane,56,128080
Rhode Island,North Providence,56,9224
Rhode Island,Cranston,56,22205
Massachusetts,Peabody,56,16826
Massachusetts,Sturbridge,56,3387
California,San Bernardino,56,302270
Texas,Cameron,56,63732
Connecticut,Rocky Hill,56,6081
Maine,Wells,56,4465
Wisconsin,Iowa,56,7828
South Carolina,Sumter,56,27297
Connecticut,Naugatuck,56,4379
Minnesota,Dakota,56,145144
Massachusetts,Lunenburg,56,3911
Massachusetts,Taunton,56,14704
Texas,Harris,56,911913
Connecticut,Clinton,56,4267
Rhode Island,Charlestown,56,2845
Wisconsin,La Crosse,56,37817
Rhode Island,Warwick,56,25112
Alabama,Jefferson,56,180936
Utah,Salt Lake,56,207958
Iowa,Linn,56,70451
Rhode Island,Westerly,56,6903
Colorado,Clear Creek,56,3495
Texas,Willacy,56,3097
Virginia,Sussex,56,2822
South Carolina,Charleston,56,121084
Louisiana,East Baton Rouge,56,115533
Massachusetts,North Attleborough,55,8943
Connecticut,Cromwell,55,4872
Washington,Pierce,55,222595
Rhode Island,Cumberland,55,10649
Massachusetts,Fall River,55,17379
Connecticut,Easton,55,2777
Massachusetts,Methuen Town,55,14103
Maine,Lewiston,55,9578
Rhode Island,Tiverton,55,5020
North Carolina,Chatham,55,26642
Connecticut,Tolland,55,5103
Massachusetts,Gardner,55,5075
Montana,Silver Bow,55,10442
California,Riverside,55,237831
Massachusetts,Auburn,55,5547
South Carolina,Marlboro,55,6277
Massachusetts,Marshfield,55,9473
Connecticut,Milford,55,17626
Missouri,Boone,55,49999
Georgia,Newton,55,29754
Illinois,Rock Island,55,36647
New York,Ulster,55,42606
Wisconsin,Ashland,55,4794
Massachusetts,Sandwich,55,7519
North Carolina,Washington,55,3387
Massachusetts,Plainville,55,3154
Wisconsin,Rock,55,46649
Connecticut,Granby,55,4027
Michigan,Marquette,55,20465
Nebraska,Douglas,55,141140
Virginia,Winchester City,55,6451
Massachusetts,Georgetown,55,3002
Texas,Fort Bend,55,195191
Massachusetts,Dartmouth,55,9456
North Carolina,Hoke,55,11929
Washington,Island,55,28374
Virginia,Northampton,54,3643
Texas,Hays,54,59213
Utah,Grand,54,2733
Massachusetts,Wrentham,54,4220
Minnesota,Olmsted,54,49480
Louisiana,St. Helena,54,3346
Wisconsin,Eau Claire,54,31617
Virginia,Hopewell City,54,2962
Texas,Maverick,54,16648
California,Inyo,54,3443
Massachusetts,Wilmington,54,7950
New Hampshire,Hampton,54,6150
South Dakota,Clay,54,3083
Ohio,Summit,54,148151
Connecticut,Hebron,54,3388
North Carolina,Pitt,54,46515
Oregon,Clatsop,54,12295
Massachusetts,Rockland,54,5279
Vermont,Milton,54,3268
Massachusetts,Wareham,54,6733
Tennessee,Haywood,54,4000
Maine,Augusta,54,5248
Virginia,Staunton City,54,6886
Michigan,Genesee,54,120082
Massachusetts,Billerica,54,12917
Connecticut,Colchester,54,5216
Connecticut,Enfield,54,11263
California,Orange,54,722307
Connecticut,Ledyard,54,4471
Connecticut,Ansonia,54,4521
Massachusetts,Abington,54,5127
Connecticut,Trumbull,54,11421
Pennsylvania,Lackawanna,54,61001
Minnesota,Washington,54,89136
Massachusetts,Norton,54,5602
Connecticut,Portland,54,3155
Wisconsin,Douglas,54,13214
Iowa,Black Hawk,54,35621
Pennsylvania,Dauphin,54,77125
Connecticut,Windsor Locks,53,3751
Florida,Miami-Dade,53,617289
California,Fresno,53,147683
Massachusetts,Tyngsborough,53,4028
Virginia,Radford City,53,3330
New Jersey,Atlantic,53,61032
North Carolina,Watauga,53,16925
Illinois,St. Clair,53,66698
Washington,Whitman,53,7865
Massachusetts,Fairhaven,53,5028
Massachusetts,Kingston,53,4412
Massachusetts,Bourne,53,5988
Nevada,Clark,53,431863
New Mexico,Cibola,53,4668
New York,Onondaga,53,93850
Georgia,Jefferson,53,4053
New York,Monroe,53,146299
Maryland,Anne Arundel,53,126861
Virginia,Virginia Beach City,53,134252
New Mexico,Sandoval,53,40307
Kansas,Johnson,53,177875
Massachusetts,West Springfield Town,53,6985
Massachusetts,Pepperell,53,3809
Nebraska,Lancaster,53,80513
Illinois,Will,53,174226
Florida,Hillsborough,53,374714
Massachusetts,Wilbraham,53,4920
Oregon,Deschutes,53,64102
Massachusetts,Bellingham,53,5165
Connecticut,Wallingford,53,13560
California,Stanislaus,53,72651
Rhode Island,Woonsocket,53,7077
Louisiana,Caddo,53,54993
New Mexico,Grant,53,7538
Alabama,Russell,52,11078
Massachusetts,Bridgewater,52,7507
Massachusetts,Somerset,52,5811
Maine,Auburn,52,6471
New Hampshire,Barrington,52,3142
Washington,Clark,52,133193
New York,Schenectady,52,31685
Rhode Island,Lincoln,52,6445
Idaho,Teton,52,3318
Virginia,Chesterfield,52,111094
New Hampshire,Merrimack,52,8725
Virginia,Chesapeake City,52,65007
Pennsylvania,Lehigh,52,87360
Colorado,Chaffee,52,7112
Massachusetts,East Longmeadow,52,5260
New Hampshire,Manchester,52,27152
Massachusetts,Pembroke,52,6118
New Jersey,Monmouth,52,129974
Massachusetts,Whitman,52,4487
Washington,Clallam,52,21964
Texas,Starr,52,9099
Connecticut,Orange,52,4816
Georgia,Sumter,52,6318
Michigan,Kent,52,186753
Virginia,Prince Edward,52,4937
Michigan,Leelanau,52,8793
Connecticut,Bristol,52,15463
Massachusetts,Tewksbury,52,9709
New Mexico,Socorro,52,3686
New Hampshire,Milford,52,4644
Rhode Island,West Warwick,52,7079
Montana,Gallatin,52,36964
Illinois,Peoria,52,42600
New York,Erie,52,198808
North Carolina,Anson,52,5768
Virginia,Montgomery,52,23012
Arkansas,Crittenden,52,8325
Pennsylvania,Centre,52,39711
Louisiana,St. James,52,6509
Maryland,Frederick,52,64016
Virginia,James City,52,25374
Connecticut,Coventry,52,4011
Arizona,Maricopa,51,912585
New York,Columbia,51,14148
Connecticut,Haddam,51,2962
Illinois,De Kalb,51,24484
Connecticut,Derby,51,2963
Massachusetts,Millbury,51,4117
Florida,Duval,51,251952
California,Placer,51,81572
Delaware,Kent,51,44517
Illinois,Kendall,51,31394
Massachusetts,Salisbury,51,2830
Pennsylvania,Bucks,51,191104
New Hampshire,Bedford,51,7521
Massachusetts,Northbridge,51,4655
Minnesota,Blue Earth,51,18319
Texas,Duval,51,2573
Louisiana,Iberville,51,8514
Minnesota,Clay,51,16346
North Carolina,Wilson,51,20579
Connecticut,New Milford,51,8004
Florida,Seminole,51,132213
Massachusetts,Hanover,51,4859
Connecticut,East Hampton,51,4051
Wisconsin,Green,51,10850
Virginia,Stafford,51,39657
Nevada,Washoe,51,123501
Minnesota,Lake,51,3643
Arkansas,St. Francis,51,3571
Iowa,Scott,51,46890
California,Butte,51,44455
Connecticut,Southbury,51,6570
Maine,Windham,51,5780
Connecticut,Ellington,50,4787
Massachusetts,Saugus,50,7722
Alabama,Marengo,50,5476
Minnesota,Nicollet,50,9612
Wisconsin,Portage,50,20426
Mississippi,Yazoo,50,4533
Ohio,Montgomery,50,131592
Massachusetts,Lynnfield,50,4162
Illinois,McLean,50,43719
Connecticut,Suffield,50,4363
Virginia,Caroline,50,8081
North Carolina,New Hanover,50,64876
Massachusetts,Westminster,50,2556
Connecticut,Brookfield,50,5426
Massachusetts,Westport,50,5155
Kansas,Riley,50,11939
New Jersey,Gloucester,50,84120
Connecticut,Litchfield,50,2673
Georgia,Baldwin,50,9106
Kansas,Shawnee,50,41997
Mississippi,Pike,50,7087
Georgia,Washington,50,4721
Wisconsin,Sauk,50,18103
Wisconsin,Door,50,10044
Colorado,Garfield,50,15070
Massachusetts,Uxbridge,50,4347
New Hampshire,Claremont,50,2895
Connecticut,Burlington,50,3099
Idaho,Latah,50,10199
Connecticut,Montville,50,4406
North Carolina,Nash,50,25702
Massachusetts,Raynham,50,4348
Maryland,Kent,50,4830
Colorado,Pueblo,50,43070
Pennsylvania,Erie,50,66966
Mississippi,Jasper,50,4287
Minnesota,Carlton,50,10094
Pennsylvania,Northampton,50,83401
Texas,Williamson,50,142457
Connecticut,East Haddam,49,2728
North Carolina,Pasquotank,49,9653
Washington,Pacific,49,6283
Florida,Pinellas,49,277191
Michigan,Saginaw,49,51068
Massachusetts,Townsend,49,2663
Massachusetts,Rutland,49,2800
South Carolina,Clarendon,49,8250
Maine,Gray,49,2653
Connecticut,Woodstock,49,2548
Virginia,Essex,49,3029
Texas,Tarrant,49,401313
Minnesota,Winona,49,13328
Massachusetts,Westfield,49,9986
Oregon,Marion,49,73281
New Jersey,Hunterdon,49,34597
South Carolina,Dillon,49,6435
Maine,Sanford,49,5382
Michigan,Muskegon,49,46389
Massachusetts,Athol,49,2653
Indiana,Tippecanoe,49,34993
Washington,Walla Walla,49,8289
New York,Nassau,49,280288
Minnesota,Rice,49,17386
Florida,St. Lucie,49,84005
Maryland,Talbot,49,10408
Massachusetts,Sutton,49,3042
Wyoming,Albany,49,9091
North Carolina,Scotland,49,7137
Massachusetts,Dracut,49,8582
New Hampshire,Londonderry,49,7738
Georgia,Burke,49,5206
New Hampshire,Goffstown,49,4967
Massachusetts,Webster,49,4003
Virginia,Lynchburg City,49,17447
Connecticut,Monroe,49,5838
Texas,Jefferson,49,46022
Rhode Island,North Smithfield,49,3407
Michigan,Eaton,49,31297
Washington,Grays Harbor,49,14043
Texas,Kleberg,49,5359
Kentucky,Franklin,48,12590
California,El Dorado,48,42694
Connecticut,Plainville,48,4670
Mississippi,Copiah,48,5227
Wisconsin,Columbia,48,16408
Rhode Island,Smithfield,48,5449
Massachusetts,Leicester,48,3099
Ohio,Mahoning,48,56346
New York,Dutchess,48,57720
Connecticut,Woodbury,48,3138
California,Kern,48,69278
Illinois,Winnebago,48,58721
South Carolina,Florence,48,30792
Colorado,Alamosa,48,3624
Iowa,Jefferson,48,4314
Massachusetts,Hanson,48,3240
Connecticut,Southington,48,12855
South Carolina,Jasper,48,7162
New Hampshire,Rochester,48,8132
Mississippi,Marshall,48,6283
Oklahoma,Oklahoma,48,141587
Massachusetts,Agawam Town,48,7725
Missouri,Platte,48,28111
Maine,Brewer,48,2533
Iowa,Dallas,48,26771
Massachusetts,Ludlow,48,5419
Minnesota,Anoka,48,100832
Connecticut,New Fairfield,48,4101
West Virginia,Monongalia,48,20064
Pennsylvania,Monroe,48,31261
Ohio,Lorain,48,72792
North Carolina,Lenoir,48,13494
Michigan,Isabella,48,14072
Texas,Nueces,48,60749
Mississippi,Lowndes,48,12913
Massachusetts,Palmer Town,48,3105
Connecticut,Newington,48,5321
Colorado,Grand,48,4579
Michigan,Grand Traverse,48,28682
Iowa,Dubuque,48,25601
Wisconsin,Kenosha,48,42191
Oregon,Tillamook,48,7956
Massachusetts,Oxford,48,3573
Massachusetts,East Bridgewater,47,4096
Oregon,Polk,47,22431
Minnesota,Beltrami,47,11424
Massachusetts,Carver,47,3265
New Hampshire,Hooksett,47,4060
Massachusetts,Monson,47,2440
Massachusetts,Swansea,47,4734
New Hampshire,Gilford,47,2508
Georgia,Peach,47,5910
North Carolina,Martin,47,5876
South Carolina,McCormick,47,2685
Virginia,Lancaster,47,3358
Wisconsin,Racine,47,50154
South Carolina,Calhoun,47,3903
Massachusetts,Middleton,47,2717
Georgia,Early,47,2437
Missouri,Clay,47,59519
South Carolina,Darlington,47,15199
Illinois,McHenry,47,73610
Wisconsin,Vernon,47,7457
Wisconsin,Winnebago,47,44060
North Dakota,Cass,47,40219
Washington,Okanogan,47,5661
Texas,Collin,47,227868
California,Trinity,47,2383
Mississippi,Chickasaw,47,3808
Utah,San Juan,47,2451
Indiana,St. Joseph,47,40426
Massachusetts,Spencer,47,3005
Illinois,Sangamon,47,48756
Connecticut,Berlin,47,6008
Iowa,Winneshiek,47,5616
Virginia,Fluvanna,47,7289
Washington,Mason,47,16999
Washington,Chelan,47,15454
New York,Rensselaer,47,30450
Oregon,Jackson,47,58386
Washington,Spokane,47,130820
Minnesota,Carver,47,30760
Oregon,Wasco,47,6467
Idaho,Ada,46,120539
Montana,Lewis and Clark,46,19741
Arkansas,Washington,46,43327
Minnesota,Mower,46,8997
Alaska,State House District 34,46,2480
Virginia,Waynesboro City,46,4918
