state,precinct,percent_candidate,candidate_votes
Louisiana,Jefferson Davis,0,22
Mississippi,Issaquena,0,1
Vermont,Salisbury,0,1
Iowa,Clayton,0,14
Kentucky,Harlan,0,16
Minnesota,Morrison,0,28
Tennessee,Putnam,0,48
Louisiana,Evangeline,0,22
Louisiana,De Soto,0,21
Iowa,Sioux,0,27
Louisiana,Assumption,0,16
Vermont,Dorset,0,2
Mississippi,Benton,0,6
Tennessee,Carter,0,35
Kentucky,Edmonson,0,7
Mississippi,Itawamba,0,15
Vermont,Braintree,0,1
Arkansas,Cleveland,0,5
Colorado,Sedgwick,0,2
Tennessee,Gibson,0,31
Iowa,Poweshiek,0,14
Mississippi,Stone,0,9
Vermont,Bridport,0,1
Kentucky,Union,0,9
Colorado,Baca,0,3
Arkansas,Madison,0,10
Vermont,Clarendon,0,2
Arkansas,Poinsett,0,10
Vermont,Wells,0,1
Tennessee,Cocke,0,20
Iowa,Hardin,0,12
Vermont,Bristol,0,3
Iowa,Carroll,0,15
Iowa,Shelby,0,9
Colorado,Mineral,0,1
Iowa,Humboldt,0,7
Louisiana,Webster,0,24
Iowa,Montgomery,0,7
Louisiana,East Carroll,0,4
Iowa,Henry,0,13
Iowa,Bremer,0,19
Kentucky,Butler,0,8
Vermont,Townshend,0,1
Iowa,Benton,0,19
Tennessee,Hardeman,0,13
Vermont,Craftsbury,0,1
Iowa,Hamilton,0,11
Tennessee,Hawkins,0,32
Vermont,Whitingham,0,1
Vermont,Bolton,0,1
Tennessee,Grainger,0,13
Tennessee,Johnson,0,10
Tennessee,McMinn,0,29
Oklahoma,Pushmataha,0,6
Iowa,Crawford,0,9
Vermont,Troy,0,1
Louisiana,Union,0,14
Minnesota,Lake of the Woods,0,3
Vermont,Strafford,0,1
Kentucky,McCreary,0,8
Iowa,Emmet,0,6
Louisiana,Cameron,0,5
Iowa,Cherokee,0,8
Kentucky,Russell,0,11
Iowa,Monroe,0,5
Tennessee,Bledsoe,0,7
Vermont,Fletcher,0,1
Tennessee,Marion,0,16
Louisiana,Richland,0,12
Tennessee,Campbell,0,18
Vermont,Corinth,0,1
Kentucky,Livingston,0,6
Iowa,O Brien,0,9
Vermont,West Windsor,0,1
Tennessee,Henderson,0,14
Vermont,Tunbridge,0,1
Tennessee,Monroe,0,24
Tennessee,Fentress,0,10
Tennessee,Cheatham,0,23
Tennessee,Clay,0,4
Oklahoma,Nowata,0,5
Iowa,Keokuk,0,6
Tennessee,Jackson,0,6
Iowa,Cedar,0,12
